Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
30-08-2019,4006,,,,,,,
03-09-2019,4005,,,,,,,
15-10-2019,4004,,,,,,,
18-02-2020,3998,,,,,,,
20-11-2021,3996,,,,,,,
26-12-2021,3996,,,,,,,
18-10-2019,3994,,,,,,,
05-11-2018,3993,,,,,,,
15-11-2018,3990,,,,,,,
16-04-2021,3988,,,,,,,
13-01-2020,3986,,,,,,,
27-08-2019,3985,,,,,,,
29-08-2019,3985,,,,,,,
24-09-2022,3983,,,,,,,
27-05-2021,3981,,,,,,,
12-01-2021,3974,,,,,,,
16-10-2022,3967,,,,,,,
13-09-2019,3964,,,,,,,
04-05-2021,3960,,,,,,,
13-08-2022,3952,,,,,,,
13-11-2021,3951,,,,,,,
24-04-2022,3945,,,,,,,
28-05-2020,3944,,,,,,,
03-12-2019,3942,,,,,,,
10-06-2020,3942,,,,,,,
04-06-2020,3935,,,,,,,
12-09-2019,3931,,,,,,,
10-08-2021,3929,,,,,,,
08-06-2020,3928,,,,,,,
17-09-2019,3925,,,,,,,
04-11-2019,3922,,,,,,,
05-09-2022,3921,,,,,,,
23-01-2020,3917,,,,,,,
10-03-2020,3911,,,,,,,
17-09-2022,3902,,,,,,,
18-06-2022,3894,,,,,,,
24-09-2019,3883,,,,,,,
25-10-2020,3880,,,,,,,
27-12-2020,3875,,,,,,,
28-05-2022,3868,,,,,,,
28-11-2020,3867,,,,,,,
11-09-2019,3860,,,,,,,
20-09-2019,3856,,,,,,,
12-02-2019,3851,,,,,,,
05-12-2019,3848,,,,,,,
06-08-2022,3843,,,,,,,
20-07-2021,3832,,,,,,,
30-07-2022,3832,,,,,,,
26-11-2021,3831,,,,,,,
20-11-2018,3829,,,,,,,
01-10-2022,3809,,,,,,,
26-12-2020,3807,,,,,,,
28-10-2019,3807,,,,,,,
24-10-2020,3807,,,,,,,
05-02-2020,3806,,,,,,,
05-09-2019,3806,,,,,,,
18-10-2018,3805,,,,,,,
06-03-2022,3802,,,,,,,
13-04-2020,3800,,,,,,,
16-12-2019,3799,,,,,,,
01-10-2020,3798,,,,,,,
26-05-2020,3797,,,,,,,
09-10-2019,3794,,,,,,,
15-01-2020,3786,,,,,,,
19-10-2018,3783,,,,,,,
07-11-2018,3782,,,,,,,
22-11-2020,3775,,,,,,,
19-05-2021,3773,,,,,,,
30-10-2018,3771,,,,,,,
28-08-2019,3763,,,,,,,
15-01-2022,3762,,,,,,,
08-01-2018,3761,,,,,,,
18-12-2022,3758,,,,,,,
10-02-2020,3757,,,,,,,
25-09-2019,3753,,,,,,,
16-11-2018,3749,,,,,,,
27-09-2019,3748,,,,,,,
09-01-2018,3747,,,,,,,
02-11-2018,3746,,,,,,,
11-02-2020,3743,,,,,,,
02-04-2021,3739,,,,,,,
27-11-2020,3731,,,,,,,
08-04-2021,3728,,,,,,,
26-10-2018,3728,,,,,,,
21-05-2020,3725,,,,,,,
15-09-2017,3724,,,,,,,
04-10-2018,3719,,,,,,,
22-09-2020,3713,,,,,,,
12-02-2020,3713,,,,,,,
02-10-2019,3711,,,,,,,
15-05-2022,3711,,,,,,,
21-01-2020,3705,,,,,,,
07-10-2019,3705,,,,,,,
24-01-2019,3705,,,,,,,
22-01-2020,3701,,,,,,,
30-10-2021,3701,,,,,,,
01-10-2019,3700,,,,,,,
16-09-2019,3699,,,,,,,
04-12-2022,3697,,,,,,,
23-07-2022,3697,,,,,,,
09-02-2018,3697,,,,,,,
09-09-2019,3696,,,,,,,
22-01-2022,3693,,,,,,,
11-05-2020,3692,,,,,,,
03-06-2020,3691,,,,,,,
06-09-2019,3690,,,,,,,
06-11-2022,3688,,,,,,,
20-03-2022,3685,,,,,,,
31-10-2018,3684,,,,,,,
21-09-2020,3682,,,,,,,
20-05-2020,3676,,,,,,,
20-12-2017,3674,,,,,,,
16-10-2018,3671,,,,,,,
10-09-2019,3668,,,,,,,
10-04-2020,3666,,,,,,,
07-04-2020,3665,,,,,,,
29-10-2018,3658,,,,,,,
11-11-2019,3650,,,,,,,
29-09-2017,3650,,,,,,,
09-10-2020,3648,,,,,,,
23-09-2019,3646,,,,,,,
10-03-2021,3644,,,,,,,
09-07-2022,3641,,,,,,,
01-02-2019,3638,,,,,,,
08-12-2017,3637,,,,,,,
21-11-2017,3632,,,,,,,
08-11-2018,3630,,,,,,,
19-05-2020,3623,,,,,,,
19-12-2017,3622,,,,,,,
17-10-2018,3618,,,,,,,
13-12-2017,3614,,,,,,,
14-12-2017,3613,,,,,,,
08-09-2017,3610,,,,,,,
03-10-2018,3608,,,,,,,
14-11-2018,3608,,,,,,,
16-01-2019,3603,,,,,,,
23-08-2017,3601,,,,,,,
10-04-2022,3598,,,,,,,
31-01-2020,3595,,,,,,,
11-12-2018,3594,,,,,,,
10-09-2022,3594,,,,,,,
05-09-2018,3593,,,,,,,
02-09-2021,3592,,,,,,,
14-10-2019,3589,,,,,,,
07-02-2018,3588,,,,,,,
12-03-2020,3586,,,,,,,
06-09-2018,3584,,,,,,,
12-01-2018,3582,,,,,,,
29-01-2022,3580,,,,,,,
30-11-2018,3579,,,,,,,
09-10-2018,3579,,,,,,,
04-02-2019,3577,,,,,,,
03-03-2021,3574,,,,,,,
15-04-2021,3571,,,,,,,
24-03-2020,3567,,,,,,,
25-06-2022,3565,,,,,,,
26-04-2021,3561,,,,,,,
02-10-2018,3561,,,,,,,
03-09-2022,3555,,,,,,,
06-12-2017,3555,,,,,,,
20-04-2021,3553,,,,,,,
20-09-2017,3550,,,,,,,
01-10-2018,3547,,,,,,,
26-11-2018,3541,,,,,,,
13-03-2020,3541,,,,,,,
19-06-2021,3541,,,,,,,
03-04-2020,3540,,,,,,,
06-04-2021,3539,,,,,,,
21-03-2018,3539,,,,,,,
11-02-2019,3536,,,,,,,
11-09-2018,3535,,,,,,,
21-11-2018,3533,,,,,,,
12-12-2017,3532,,,,,,,
20-03-2018,3531,,,,,,,
23-10-2018,3531,,,,,,,
27-11-2017,3531,,,,,,,
14-02-2019,3530,,,,,,,
01-12-2017,3529,,,,,,,
18-03-2021,3527,,,,,,,
23-01-2019,3526,,,,,,,
02-07-2022,3525,,,,,,,
11-10-2017,3523,,,,,,,
06-11-2021,3523,,,,,,,
30-11-2017,3521,,,,,,,
14-12-2018,3520,,,,,,,
05-10-2018,3520,,,,,,,
10-10-2018,3520,,,,,,,
30-09-2019,3516,,,,,,,
22-03-2018,3507,,,,,,,
25-10-2018,3506,,,,,,,
28-01-2020,3504,,,,,,,
21-02-2020,3504,,,,,,,
22-09-2017,3502,,,,,,,
17-08-2017,3502,,,,,,,
26-03-2021,3502,,,,,,,
28-09-2017,3500,,,,,,,
25-01-2019,3495,,,,,,,
07-09-2017,3488,,,,,,,
27-02-2019,3488,,,,,,,
22-04-2020,3483,,,,,,,
14-04-2021,3478,,,,,,,
26-02-2022,3475,,,,,,,
13-02-2019,3475,,,,,,,
22-02-2023,3475,,,,,,,
27-11-2018,3473,,,,,,,
15-10-2018,3472,,,,,,,
04-08-2017,3471,,,,,,,
26-02-2020,3470,,,,,,,
26-09-2017,3469,,,,,,,
18-12-2017,3468,,,,,,,
23-02-2021,3467,,,,,,,
07-05-2020,3467,,,,,,,
22-08-2017,3465,,,,,,,
18-09-2022,3465,,,,,,,
06-09-2017,3465,,,,,,,
22-01-2019,3463,,,,,,,
24-01-2018,3462,,,,,,,
12-12-2018,3461,,,,,,,
06-02-2019,3458,,,,,,,
13-11-2022,3458,,,,,,,
12-10-2018,3457,,,,,,,
21-09-2017,3457,,,,,,,
17-01-2018,3456,,,,,,,
15-04-2020,3456,,,,,,,
07-12-2017,3456,,,,,,,
17-07-2021,3456,,,,,,,
21-12-2018,3455,,,,,,,
04-03-2021,3453,,,,,,,
05-07-2021,3453,,,,,,,
26-06-2021,3451,,,,,,,
09-01-2020,3449,,,,,,,
10-05-2021,3447,,,,,,,
03-12-2018,3446,,,,,,,
03-03-2020,3446,,,,,,,
23-02-2023,3446,,,,,,,
23-10-2021,3446,,,,,,,
29-04-2020,3446,,,,,,,
07-02-2019,3444,,,,,,,
15-12-2017,3443,,,,,,,
24-07-2022,3443,,,,,,,
27-09-2017,3438,,,,,,,
25-09-2018,3438,,,,,,,
09-01-2021,3436,,,,,,,
19-11-2018,3435,,,,,,,
06-03-2020,3429,,,,,,,
14-05-2020,3428,,,,,,,
28-08-2022,3428,,,,,,,
13-03-2018,3425,,,,,,,
06-12-2018,3425,,,,,,,
12-11-2018,3423,,,,,,,
26-09-2018,3422,,,,,,,
21-08-2022,3422,,,,,,,
19-12-2018,3422,,,,,,,
02-06-2020,3421,,,,,,,
05-09-2017,3420,,,,,,,
12-05-2020,3416,,,,,,,
30-03-2021,3416,,,,,,,
20-02-2018,3414,,,,,,,
19-09-2017,3413,,,,,,,
18-08-2017,3411,,,,,,,
16-01-2018,3409,,,,,,,
17-07-2022,3409,,,,,,,
11-01-2018,3408,,,,,,,
01-06-2020,3406,,,,,,,
05-02-2019,3405,,,,,,,
23-01-2018,3405,,,,,,,
31-03-2021,3404,,,,,,,
04-02-2020,3404,,,,,,,
29-03-2018,3404,,,,,,,
04-01-2018,3403,,,,,,,
27-04-2021,3402,,,,,,,
01-09-2017,3401,,,,,,,
22-11-2017,3400,,,,,,,
05-03-2020,3399,,,,,,,
07-09-2018,3398,,,,,,,
04-10-2017,3398,,,,,,,
31-07-2022,3396,,,,,,,
18-05-2021,3394,,,,,,,
25-08-2017,3393,,,,,,,
03-04-2022,3393,,,,,,,
27-04-2020,3391,,,,,,,
23-04-2018,3391,,,,,,,
04-09-2019,3389,,,,,,,
11-12-2017,3388,,,,,,,
14-09-2017,3387,,,,,,,
15-03-2018,3385,,,,,,,
01-01-2022,3384,,,,,,,
28-11-2021,3383,,,,,,,
16-08-2017,3383,,,,,,,
11-06-2022,3382,,,,,,,
18-12-2018,3382,,,,,,,
24-08-2017,3381,,,,,,,
27-11-2021,3381,,,,,,,
20-02-2020,3376,,,,,,,
30-08-2018,3376,,,,,,,
28-04-2021,3375,,,,,,,
16-10-2021,3375,,,,,,,
19-03-2021,3374,,,,,,,
16-09-2020,3374,,,,,,,
13-11-2018,3373,,,,,,,
20-11-2022,3373,,,,,,,
22-04-2021,3371,,,,,,,
11-09-2020,3371,,,,,,,
24-10-2018,3363,,,,,,,
10-09-2020,3361,,,,,,,
12-12-2021,3360,,,,,,,
23-04-2020,3359,,,,,,,
05-12-2017,3359,,,,,,,
03-10-2017,3357,,,,,,,
08-08-2017,3357,,,,,,,
01-03-2021,3356,,,,,,,
17-04-2022,3355,,,,,,,
03-02-2020,3352,,,,,,,
29-01-2019,3352,,,,,,,
15-11-2019,3351,,,,,,,
13-09-2017,3350,,,,,,,
28-02-2020,3350,,,,,,,
15-03-2021,3350,,,,,,,
04-09-2018,3344,,,,,,,
05-02-2018,3344,,,,,,,
29-11-2017,3343,,,,,,,
26-02-2021,3343,,,,,,,
28-07-2017,3341,,,,,,,
14-08-2022,3338,,,,,,,
29-08-2018,3336,,,,,,,
31-01-2019,3335,,,,,,,
25-09-2021,3334,,,,,,,
07-01-2020,3333,,,,,,,
12-04-2021,3333,,,,,,,
18-09-2017,3333,,,,,,,
19-04-2021,3330,,,,,,,
24-02-2020,3330,,,,,,,
06-02-2018,3330,,,,,,,
09-10-2022,3329,,,,,,,
18-08-2021,3329,,,,,,,
29-08-2017,3326,,,,,,,
09-10-2021,3325,,,,,,,
23-03-2018,3320,,,,,,,
13-12-2018,3318,,,,,,,
22-11-2019,3313,,,,,,,
25-04-2018,3312,,,,,,,
19-04-2018,3312,,,,,,,
29-01-2020,3309,,,,,,,
09-03-2021,3308,,,,,,,
02-01-2022,3308,,,,,,,
24-10-2021,3305,,,,,,,
06-10-2017,3305,,,,,,,
05-10-2017,3304,,,,,,,
30-12-2019,3299,,,,,,,
01-03-2018,3299,,,,,,,
08-02-2018,3299,,,,,,,
19-02-2020,3298,,,,,,,
13-02-2018,3298,,,,,,,
26-09-2019,3297,,,,,,,
23-02-2018,3296,,,,,,,
21-02-2019,3296,,,,,,,
20-02-2019,3295,,,,,,,
03-08-2017,3294,,,,,,,
13-04-2021,3294,,,,,,,
20-04-2020,3293,,,,,,,
07-08-2021,3293,,,,,,,
06-01-2020,3292,,,,,,,
24-09-2018,3292,,,,,,,
15-01-2019,3290,,,,,,,
14-11-2019,3290,,,,,,,
14-08-2017,3288,,,,,,,
02-01-2021,3288,,,,,,,
25-09-2017,3287,,,,,,,
03-01-2021,3287,,,,,,,
28-11-2018,3284,,,,,,,
22-02-2018,3281,,,,,,,
02-02-2018,3280,,,,,,,
24-04-2018,3279,,,,,,,
07-12-2018,3277,,,,,,,
12-10-2017,3277,,,,,,,
08-01-2020,3276,,,,,,,
16-04-2020,3276,,,,,,,
16-02-2018,3273,,,,,,,
05-04-2021,3272,,,,,,,
27-09-2018,3270,,,,,,,
11-05-2018,3269,,,,,,,
04-12-2017,3268,,,,,,,
20-10-2017,3267,,,,,,,
15-08-2017,3267,,,,,,,
16-12-2016,3266,,,,,,,
12-09-2018,3264,,,,,,,
31-08-2017,3260,,,,,,,
02-03-2021,3258,,,,,,,
03-05-2018,3257,,,,,,,
10-10-2017,3257,,,,,,,
07-04-2021,3256,,,,,,,
21-09-2018,3254,,,,,,,
09-04-2019,3254,,,,,,,
10-04-2019,3253,,,,,,,
22-10-2018,3252,,,,,,,
10-12-2018,3249,,,,,,,
01-03-2019,3249,,,,,,,
25-09-2022,3247,,,,,,,
05-04-2019,3244,,,,,,,
11-09-2022,3242,,,,,,,
20-09-2018,3241,,,,,,,
19-10-2017,3240,,,,,,,
14-03-2018,3239,,,,,,,
12-09-2017,3237,,,,,,,
17-04-2020,3236,,,,,,,
09-10-2017,3235,,,,,,,
31-07-2021,3235,,,,,,,
24-03-2021,3235,,,,,,,
07-08-2022,3234,,,,,,,
12-03-2018,3229,,,,,,,
14-09-2018,3229,,,,,,,
30-01-2020,3228,,,,,,,
28-08-2017,3226,,,,,,,
18-09-2018,3225,,,,,,,
26-04-2018,3224,,,,,,,
14-08-2021,3223,,,,,,,
12-03-2021,3222,,,,,,,
12-02-2018,3221,,,,,,,
04-03-2020,3219,,,,,,,
01-08-2017,3219,,,,,,,
28-04-2020,3217,,,,,,,
28-09-2018,3217,,,,,,,
17-01-2019,3216,,,,,,,
17-10-2020,3211,,,,,,,
02-05-2018,3210,,,,,,,
20-04-2018,3207,,,,,,,
17-05-2018,3205,,,,,,,
13-03-2022,3203,,,,,,,
26-02-2018,3202,,,,,,,
09-03-2018,3202,,,,,,,
22-05-2022,3201,,,,,,,
31-01-2018,3201,,,,,,,
23-10-2017,3200,,,,,,,
30-05-2022,3200,,,,,,,
10-09-2018,3200,,,,,,,
15-05-2018,3198,,,,,,,
04-04-2018,3197,,,,,,,
12-04-2019,3192,,,,,,,
26-02-2019,3191,,,,,,,
28-11-2017,3190,,,,,,,
09-11-2017,3188,,,,,,,
28-01-2019,3187,,,,,,,
07-01-2019,3186,,,,,,,
10-05-2018,3186,,,,,,,
20-11-2017,3186,,,,,,,
17-10-2017,3185,,,,,,,
25-02-2019,3185,,,,,,,
25-01-2018,3184,,,,,,,
18-04-2018,3184,,,,,,,
27-02-2023,3177,,,,,,,
26-03-2018,3175,,,,,,,
02-10-2017,3173,,,,,,,
04-10-2021,3171,,,,,,,
16-05-2018,3169,,,,,,,
27-01-2020,3167,,,,,,,
25-05-2018,3166,,,,,,,
18-09-2019,3166,,,,,,,
08-03-2021,3164,,,,,,,
05-01-2018,3163,,,,,,,
03-07-2021,3162,,,,,,,
06-03-2019,3162,,,,,,,
02-10-2022,3160,,,,,,,
27-02-2018,3160,,,,,,,
11-08-2017,3158,,,,,,,
03-04-2018,3157,,,,,,,
23-03-2021,3153,,,,,,,
21-04-2021,3152,,,,,,,
06-03-2018,3152,,,,,,,
19-06-2022,3149,,,,,,,
31-05-2021,3149,,,,,,,
02-08-2017,3148,,,,,,,
27-04-2018,3148,,,,,,,
16-04-2018,3148,,,,,,,
29-03-2021,3147,,,,,,,
05-03-2019,3147,,,,,,,
30-01-2018,3146,,,,,,,
09-04-2018,3141,,,,,,,
30-08-2017,3140,,,,,,,
11-03-2020,3139,,,,,,,
21-08-2017,3137,,,,,,,
31-08-2018,3137,,,,,,,
30-05-2018,3137,,,,,,,
05-12-2018,3136,,,,,,,
13-05-2020,3136,,,,,,,
14-01-2019,3135,,,,,,,
08-04-2019,3135,,,,,,,
06-02-2022,3134,,,,,,,
25-03-2020,3132,,,,,,,
23-05-2018,3128,,,,,,,
08-02-2019,3125,,,,,,,
04-05-2018,3123,,,,,,,
16-03-2018,3122,,,,,,,
10-08-2017,3122,,,,,,,
27-03-2020,3121,,,,,,,
05-12-2021,3120,,,,,,,
01-05-2018,3119,,,,,,,
18-09-2021,3119,,,,,,,
29-01-2018,3119,,,,,,,
25-03-2021,3118,,,,,,,
28-08-2018,3117,,,,,,,
24-10-2017,3114,,,,,,,
12-06-2021,3114,,,,,,,
22-03-2021,3114,,,,,,,
21-04-2020,3112,,,,,,,
16-05-2019,3106,,,,,,,
26-08-2019,3106,,,,,,,
15-02-2018,3106,,,,,,,
13-09-2018,3101,,,,,,,
10-01-2019,3100,,,,,,,
24-05-2018,3098,,,,,,,
30-11-2016,3098,,,,,,,
11-04-2018,3096,,,,,,,
08-10-2020,3095,,,,,,,
21-08-2021,3094,,,,,,,
16-08-2018,3091,,,,,,,
14-02-2023,3090,,,,,,,
20-03-2019,3089,,,,,,,
18-10-2017,3088,,,,,,,
21-12-2017,3088,,,,,,,
18-03-2020,3088,,,,,,,
10-08-2018,3088,,,,,,,
15-02-2019,3087,,,,,,,
16-11-2017,3087,,,,,,,
08-10-2018,3085,,,,,,,
10-07-2022,3082,,,,,,,
30-05-2019,3082,,,,,,,
22-05-2019,3082,,,,,,,
21-11-2019,3079,,,,,,,
29-11-2016,3077,,,,,,,
03-01-2018,3076,,,,,,,
17-02-2020,3075,,,,,,,
17-04-2018,3075,,,,,,,
21-02-2018,3073,,,,,,,
08-05-2018,3072,,,,,,,
14-09-2020,3070,,,,,,,
11-09-2017,3070,,,,,,,
08-03-2019,3069,,,,,,,
07-08-2017,3064,,,,,,,
06-06-2018,3064,,,,,,,
22-08-2018,3064,,,,,,,
19-02-2019,3064,,,,,,,
04-01-2019,3062,,,,,,,
01-02-2018,3061,,,,,,,
27-02-2022,3061,,,,,,,
08-01-2019,3060,,,,,,,
02-03-2020,3058,,,,,,,
26-09-2020,3058,,,,,,,
16-10-2017,3057,,,,,,,
11-04-2019,3057,,,,,,,
13-08-2019,3057,,,,,,,
26-06-2022,3054,,,,,,,
06-09-2021,3053,,,,,,,
25-02-2020,3047,,,,,,,
03-01-2020,3047,,,,,,,
02-04-2019,3046,,,,,,,
20-11-2019,3045,,,,,,,
29-05-2018,3044,,,,,,,
12-04-2018,3040,,,,,,,
26-01-2018,3035,,,,,,,
18-05-2018,3032,,,,,,,
14-08-2019,3032,,,,,,,
09-05-2018,3031,,,,,,,
27-07-2017,3029,,,,,,,
27-03-2018,3028,,,,,,,
22-12-2017,3024,,,,,,,
02-03-2018,3024,,,,,,,
14-05-2018,3024,,,,,,,
18-06-2019,3023,,,,,,,
06-06-2019,3023,,,,,,,
24-08-2018,3021,,,,,,,
23-04-2019,3021,,,,,,,
13-04-2018,3019,,,,,,,
07-03-2019,3017,,,,,,,
28-02-2018,3017,,,,,,,
04-07-2022,3016,,,,,,,
17-12-2018,3014,,,,,,,
09-08-2018,3006,,,,,,,
08-11-2017,3004,,,,,,,
14-04-2020,3002,,,,,,,
04-04-2019,2998,,,,,,,
20-02-2022,2997,,,,,,,
29-05-2022,2993,,,,,,,
10-01-2018,2993,,,,,,,
10-04-2018,2988,,,,,,,
30-01-2019,2987,,,,,,,
06-10-2020,2987,,,,,,,
04-09-2021,2987,,,,,,,
22-11-2016,2987,,,,,,,
05-01-2022,2986,,,,,,,
15-11-2017,2986,,,,,,,
22-08-2019,2985,,,,,,,
23-08-2018,2985,,,,,,,
01-08-2018,2981,,,,,,,
08-08-2018,2980,,,,,,,
18-04-2019,2977,,,,,,,
15-08-2018,2974,,,,,,,
21-05-2018,2974,,,,,,,
04-09-2022,2974,,,,,,,
09-01-2019,2972,,,,,,,
10-05-2019,2972,,,,,,,
27-10-2017,2970,,,,,,,
26-04-2019,2968,,,,,,,
27-08-2018,2966,,,,,,,
25-06-2018,2966,,,,,,,
16-03-2020,2965,,,,,,,
18-01-2019,2964,,,,,,,
17-01-2021,2964,,,,,,,
26-03-2020,2963,,,,,,,
29-05-2019,2962,,,,,,,
15-04-2019,2962,,,,,,,
09-03-2020,2961,,,,,,,
22-02-2019,2957,,,,,,,
13-06-2019,2957,,,,,,,
09-02-2023,2956,,,,,,,
23-11-2016,2953,,,,,,,
20-08-2019,2952,,,,,,,
30-04-2019,2951,,,,,,,
17-09-2018,2949,,,,,,,
14-06-2018,2948,,,,,,,
30-03-2018,2946,,,,,,,
09-05-2019,2945,,,,,,,
07-10-2020,2944,,,,,,,
22-03-2019,2944,,,,,,,
05-03-2018,2943,,,,,,,
09-08-2017,2941,,,,,,,
01-06-2018,2939,,,,,,,
20-06-2019,2938,,,,,,,
03-05-2019,2937,,,,,,,
05-06-2021,2936,,,,,,,
13-11-2017,2936,,,,,,,
14-08-2018,2936,,,,,,,
10-07-2021,2936,,,,,,,
16-03-2021,2935,,,,,,,
17-03-2021,2935,,,,,,,
28-05-2019,2935,,,,,,,
02-04-2018,2934,,,,,,,
